code,O,Omega,Theta
"for xqv in range(n):
    print(xqv)",O(n),O(n),O(n)
"for rum in range(n):
    print(rum)",O(n),O(n),O(n)
"for gvk in range(n):
    print(gvk*2)",O(n),O(n),O(n)
"for jpe in range(n):
    print(jpe)",O(n),O(n),O(n)
"for slv in range(n):
    print(slv*2)",O(n),O(n),O(n)
"for cyg in range(n):
    print(cyg*2)",O(n),O(n),O(n)
"for bet in range(n):
    print(bet**2)",O(n),O(n),O(n)
"for hye in range(n):
    print(hye*2)",O(n),O(n),O(n)
"for aob in range(n):
    print(aob**2)",O(n),O(n),O(n)
"for iiv in range(n):
    print(iiv**2)",O(n),O(n),O(n)
"for tcs in range(n):
    print(tcs)",O(n),O(n),O(n)
"for wtn in range(n):
    print(wtn*2)",O(n),O(n),O(n)
"for ucd in range(n):
    print(ucd)",O(n),O(n),O(n)
"for mrx in range(n):
    print(mrx)",O(n),O(n),O(n)
"for sxm in range(n):
    print(sxm*2)",O(n),O(n),O(n)
"for yaz in range(n):
    print(yaz*2)",O(n),O(n),O(n)
"for mfu in range(n):
    print(mfu)",O(n),O(n),O(n)
"for gtw in range(n):
    print(gtw*2)",O(n),O(n),O(n)
"for ybm in range(n):
    print(ybm*2)",O(n),O(n),O(n)
"for gua in range(n):
    print(gua*2)",O(n),O(n),O(n)
"for xpu in range(n):
    print(xpu)",O(n),O(n),O(n)
"for mhs in range(n):
    print(mhs**2)",O(n),O(n),O(n)
"for wan in range(n):
    print(wan**2)",O(n),O(n),O(n)
"for hys in range(n):
    print(hys*2)",O(n),O(n),O(n)
"for ott in range(n):
    print(ott)",O(n),O(n),O(n)
"for wkl in range(n):
    print(wkl)",O(n),O(n),O(n)
"for hst in range(n):
    print(hst*2)",O(n),O(n),O(n)
"for pac in range(n):
    print(pac*2)",O(n),O(n),O(n)
"for sam in range(n):
    print(sam**2)",O(n),O(n),O(n)
"for ktn in range(n):
    print(ktn**2)",O(n),O(n),O(n)
"for rol in range(n):
    print(rol)",O(n),O(n),O(n)
"for gte in range(n):
    print(gte*2)",O(n),O(n),O(n)
"for pgf in range(n):
    print(pgf**2)",O(n),O(n),O(n)
"for hgp in range(n):
    print(hgp)",O(n),O(n),O(n)
"for are in range(n):
    print(are)",O(n),O(n),O(n)
"for cis in range(n):
    print(cis)",O(n),O(n),O(n)
"for hjm in range(n):
    print(hjm**2)",O(n),O(n),O(n)
"for oaf in range(n):
    print(oaf*2)",O(n),O(n),O(n)
"for wns in range(n):
    print(wns**2)",O(n),O(n),O(n)
"for vzi in range(n):
    print(vzi*2)",O(n),O(n),O(n)
"for ckg in range(n):
    print(ckg*2)",O(n),O(n),O(n)
"for eod in range(n):
    print(eod**2)",O(n),O(n),O(n)
"for fds in range(n):
    print(fds)",O(n),O(n),O(n)
"for ibi in range(n):
    print(ibi**2)",O(n),O(n),O(n)
"for ylh in range(n):
    print(ylh**2)",O(n),O(n),O(n)
"for gws in range(n):
    print(gws**2)",O(n),O(n),O(n)
"for rvx in range(n):
    print(rvx**2)",O(n),O(n),O(n)
"for skq in range(n):
    print(skq*2)",O(n),O(n),O(n)
"for hzv in range(n):
    print(hzv*2)",O(n),O(n),O(n)
"for zss in range(n):
    print(zss)",O(n),O(n),O(n)
"for jby in range(n):
    print(jby**2)",O(n),O(n),O(n)
"for qxi in range(n):
    print(qxi**2)",O(n),O(n),O(n)
"for gly in range(n):
    print(gly)",O(n),O(n),O(n)
"for xyp in range(n):
    print(xyp**2)",O(n),O(n),O(n)
"for fxm in range(n):
    print(fxm**2)",O(n),O(n),O(n)
"for waf in range(n):
    print(waf*2)",O(n),O(n),O(n)
"for scn in range(n):
    print(scn)",O(n),O(n),O(n)
"for gya in range(n):
    print(gya**2)",O(n),O(n),O(n)
"for ivc in range(n):
    print(ivc**2)",O(n),O(n),O(n)
"for nyg in range(n):
    print(nyg)",O(n),O(n),O(n)
"for skd in range(n):
    print(skd)",O(n),O(n),O(n)
"for ctv in range(n):
    print(ctv)",O(n),O(n),O(n)
"def log_div_rbkd(n):
    while n > 1:
        n = n // 2
    return n",O(log n),O(log n),O(log n)
"def log_div_qnuj(n):
    while n > 1:
        n = n // 2
    return n",O(log n),O(log n),O(log n)
"def log_div_kbvb(n):
    while n > 1:
        n = n // 2
    return n",O(log n),O(log n),O(log n)
"def log_div_qvpm(n):
    while n > 1:
        n = n // 2
    return n",O(log n),O(log n),O(log n)
"def log_div_uzbr(n):
    while n > 1:
        n = n // 2
    return n",O(log n),O(log n),O(log n)
"def log_div_buym(n):
    while n > 1:
        n = n // 2
    return n",O(log n),O(log n),O(log n)
"def log_div_orxy(n):
    while n > 1:
        n = n // 2
    return n",O(log n),O(log n),O(log n)
"def log_div_jqta(n):
    while n > 1:
        n = n // 2
    return n",O(log n),O(log n),O(log n)
"def log_div_nzay(n):
    while n > 1:
        n = n // 2
    return n",O(log n),O(log n),O(log n)
"def log_div_upbb(n):
    while n > 1:
        n = n // 2
    return n",O(log n),O(log n),O(log n)
"def log_div_oucy(n):
    while n > 1:
        n = n // 2
    return n",O(log n),O(log n),O(log n)
"def log_div_mpau(n):
    while n > 1:
        n = n // 2
    return n",O(log n),O(log n),O(log n)
"def log_div_gqxg(n):
    while n > 1:
        n = n // 2
    return n",O(log n),O(log n),O(log n)
"def log_div_ngoi(n):
    while n > 1:
        n = n // 2
    return n",O(log n),O(log n),O(log n)
"def log_div_alob(n):
    while n > 1:
        n = n // 2
    return n",O(log n),O(log n),O(log n)
"def log_div_myvq(n):
    while n > 1:
        n = n // 2
    return n",O(log n),O(log n),O(log n)
"def log_div_dqqh(n):
    while n > 1:
        n = n // 2
    return n",O(log n),O(log n),O(log n)
"def log_div_wquy(n):
    while n > 1:
        n = n // 2
    return n",O(log n),O(log n),O(log n)
"def log_div_rost(n):
    while n > 1:
        n = n // 2
    return n",O(log n),O(log n),O(log n)
"def log_div_nojv(n):
    while n > 1:
        n = n // 2
    return n",O(log n),O(log n),O(log n)
"def log_div_pofj(n):
    while n > 1:
        n = n // 2
    return n",O(log n),O(log n),O(log n)
"def log_div_njjr(n):
    while n > 1:
        n = n // 2
    return n",O(log n),O(log n),O(log n)
"def log_div_ikdd(n):
    while n > 1:
        n = n // 2
    return n",O(log n),O(log n),O(log n)
"def log_div_wjiu(n):
    while n > 1:
        n = n // 2
    return n",O(log n),O(log n),O(log n)
"def log_div_qjls(n):
    while n > 1:
        n = n // 2
    return n",O(log n),O(log n),O(log n)
"def log_div_txyv(n):
    while n > 1:
        n = n // 2
    return n",O(log n),O(log n),O(log n)
"def log_div_ssvs(n):
    while n > 1:
        n = n // 2
    return n",O(log n),O(log n),O(log n)
"def log_div_ikip(n):
    while n > 1:
        n = n // 2
    return n",O(log n),O(log n),O(log n)
"def log_div_gvvz(n):
    while n > 1:
        n = n // 2
    return n",O(log n),O(log n),O(log n)
"def log_div_qniu(n):
    while n > 1:
        n = n // 2
    return n",O(log n),O(log n),O(log n)
"def log_div_nwlb(n):
    while n > 1:
        n = n // 2
    return n",O(log n),O(log n),O(log n)
"def log_div_sgrw(n):
    while n > 1:
        n = n // 2
    return n",O(log n),O(log n),O(log n)
"def log_div_qsuj(n):
    while n > 1:
        n = n // 2
    return n",O(log n),O(log n),O(log n)
"def log_div_igyd(n):
    while n > 1:
        n = n // 2
    return n",O(log n),O(log n),O(log n)
"def log_div_brbw(n):
    while n > 1:
        n = n // 2
    return n",O(log n),O(log n),O(log n)
"def log_div_ytou(n):
    while n > 1:
        n = n // 2
    return n",O(log n),O(log n),O(log n)
"def log_div_dtnx(n):
    while n > 1:
        n = n // 2
    return n",O(log n),O(log n),O(log n)
"def log_div_cauv(n):
    while n > 1:
        n = n // 2
    return n",O(log n),O(log n),O(log n)
"def log_div_nusk(n):
    while n > 1:
        n = n // 2
    return n",O(log n),O(log n),O(log n)
"def log_div_oirt(n):
    while n > 1:
        n = n // 2
    return n",O(log n),O(log n),O(log n)
"def log_div_fbvu(n):
    while n > 1:
        n = n // 2
    return n",O(log n),O(log n),O(log n)
"def log_div_iyuv(n):
    while n > 1:
        n = n // 2
    return n",O(log n),O(log n),O(log n)
"def log_div_vryy(n):
    while n > 1:
        n = n // 2
    return n",O(log n),O(log n),O(log n)
"def log_div_mksi(n):
    while n > 1:
        n = n // 2
    return n",O(log n),O(log n),O(log n)
"def log_div_qtxj(n):
    while n > 1:
        n = n // 2
    return n",O(log n),O(log n),O(log n)
"def log_div_sxib(n):
    while n > 1:
        n = n // 2
    return n",O(log n),O(log n),O(log n)
"def log_div_kpwi(n):
    while n > 1:
        n = n // 2
    return n",O(log n),O(log n),O(log n)
"def log_div_miqa(n):
    while n > 1:
        n = n // 2
    return n",O(log n),O(log n),O(log n)
"def log_div_gknz(n):
    while n > 1:
        n = n // 2
    return n",O(log n),O(log n),O(log n)
"def log_div_yxzk(n):
    while n > 1:
        n = n // 2
    return n",O(log n),O(log n),O(log n)
"def log_div_ldcg(n):
    while n > 1:
        n = n // 2
    return n",O(log n),O(log n),O(log n)
"def log_div_fnet(n):
    while n > 1:
        n = n // 2
    return n",O(log n),O(log n),O(log n)
"def log_div_tipk(n):
    while n > 1:
        n = n // 2
    return n",O(log n),O(log n),O(log n)
"def log_div_bqrk(n):
    while n > 1:
        n = n // 2
    return n",O(log n),O(log n),O(log n)
"def log_div_okop(n):
    while n > 1:
        n = n // 2
    return n",O(log n),O(log n),O(log n)
"def log_div_ijax(n):
    while n > 1:
        n = n // 2
    return n",O(log n),O(log n),O(log n)
"def log_div_ciuq(n):
    while n > 1:
        n = n // 2
    return n",O(log n),O(log n),O(log n)
"def log_div_cdmu(n):
    while n > 1:
        n = n // 2
    return n",O(log n),O(log n),O(log n)
"def log_div_ivsx(n):
    while n > 1:
        n = n // 2
    return n",O(log n),O(log n),O(log n)
"def log_div_zloq(n):
    while n > 1:
        n = n // 2
    return n",O(log n),O(log n),O(log n)
"def log_div_lfsk(n):
    while n > 1:
        n = n // 2
    return n",O(log n),O(log n),O(log n)
"def log_div_uxoe(n):
    while n > 1:
        n = n // 2
    return n",O(log n),O(log n),O(log n)
"def log_div_psza(n):
    while n > 1:
        n = n // 2
    return n",O(log n),O(log n),O(log n)
"def log_div_tzsw(n):
    while n > 1:
        n = n // 2
    return n",O(log n),O(log n),O(log n)
"def log_div_ldec(n):
    while n > 1:
        n = n // 2
    return n",O(log n),O(log n),O(log n)
"def log_div_eopp(n):
    while n > 1:
        n = n // 2
    return n",O(log n),O(log n),O(log n)
"def log_div_tzsw(n):
    while n > 1:
        n = n // 2
    return n",O(log n),O(log n),O(log n)
"def log_div_rvod(n):
    while n > 1:
        n = n // 2
    return n",O(log n),O(log n),O(log n)
"def log_div_ffah(n):
    while n > 1:
        n = n // 2
    return n",O(log n),O(log n),O(log n)
"def log_div_hynm(n):
    while n > 1:
        n = n // 2
    return n",O(log n),O(log n),O(log n)
"def log_div_tnwh(n):
    while n > 1:
        n = n // 2
    return n",O(log n),O(log n),O(log n)
"def log_div_bubi(n):
    while n > 1:
        n = n // 2
    return n",O(log n),O(log n),O(log n)
"def log_div_kotu(n):
    while n > 1:
        n = n // 2
    return n",O(log n),O(log n),O(log n)
"def log_div_ceci(n):
    while n > 1:
        n = n // 2
    return n",O(log n),O(log n),O(log n)
"def log_div_orke(n):
    while n > 1:
        n = n // 2
    return n",O(log n),O(log n),O(log n)
"def log_div_zbau(n):
    while n > 1:
        n = n // 2
    return n",O(log n),O(log n),O(log n)
"def log_div_hrpb(n):
    while n > 1:
        n = n // 2
    return n",O(log n),O(log n),O(log n)
"def log_div_acvx(n):
    while n > 1:
        n = n // 2
    return n",O(log n),O(log n),O(log n)
"def log_div_yswe(n):
    while n > 1:
        n = n // 2
    return n",O(log n),O(log n),O(log n)
"def log_div_ktrx(n):
    while n > 1:
        n = n // 2
    return n",O(log n),O(log n),O(log n)
"def log_div_nznf(n):
    while n > 1:
        n = n // 2
    return n",O(log n),O(log n),O(log n)
"def log_div_erlz(n):
    while n > 1:
        n = n // 2
    return n",O(log n),O(log n),O(log n)
"def log_div_ypdu(n):
    while n > 1:
        n = n // 2
    return n",O(log n),O(log n),O(log n)
"def log_div_wvtl(n):
    while n > 1:
        n = n // 2
    return n",O(log n),O(log n),O(log n)
"def log_div_pcnj(n):
    while n > 1:
        n = n // 2
    return n",O(log n),O(log n),O(log n)
"def log_div_xhir(n):
    while n > 1:
        n = n // 2
    return n",O(log n),O(log n),O(log n)
"def log_div_ahtf(n):
    while n > 1:
        n = n // 2
    return n",O(log n),O(log n),O(log n)
"def log_div_fedb(n):
    while n > 1:
        n = n // 2
    return n",O(log n),O(log n),O(log n)
"def log_div_nmif(n):
    while n > 1:
        n = n // 2
    return n",O(log n),O(log n),O(log n)
"def log_div_vvsy(n):
    while n > 1:
        n = n // 2
    return n",O(log n),O(log n),O(log n)
"def log_div_ihad(n):
    while n > 1:
        n = n // 2
    return n",O(log n),O(log n),O(log n)
"def log_div_tzbl(n):
    while n > 1:
        n = n // 2
    return n",O(log n),O(log n),O(log n)
"def log_div_ijpj(n):
    while n > 1:
        n = n // 2
    return n",O(log n),O(log n),O(log n)
"def log_div_iftj(n):
    while n > 1:
        n = n // 2
    return n",O(log n),O(log n),O(log n)
"def log_div_uzck(n):
    while n > 1:
        n = n // 2
    return n",O(log n),O(log n),O(log n)
"def log_div_durj(n):
    while n > 1:
        n = n // 2
    return n",O(log n),O(log n),O(log n)
"def log_div_bwxd(n):
    while n > 1:
        n = n // 2
    return n",O(log n),O(log n),O(log n)
"def log_div_irxw(n):
    while n > 1:
        n = n // 2
    return n",O(log n),O(log n),O(log n)
"def log_div_qiod(n):
    while n > 1:
        n = n // 2
    return n",O(log n),O(log n),O(log n)
"def log_div_qlgw(n):
    while n > 1:
        n = n // 2
    return n",O(log n),O(log n),O(log n)
"import heapq
ybc_list = [i for i in range(n)]
heapq.heapify(ybc_list)
while ybc_list:
    heapq.heappop(ybc_list)",O(n log n),O(n),O(n log n)
"def merge_sort_1(arr):
    if len(arr) > 1:
        mid = len(arr) // 2
        L = arr[:mid]
        R = arr[mid:]
        merge_sort_{i}(L)
        merge_sort_{i}(R)
        i = j = k = 0
        while i < len(L) and j < len(R):
            if L[i] < R[j]:
                arr[k] = L[i]
                i += 1
            else:
                arr[k] = R[j]
                j += 1
            k += 1",O(n log n),O(n log n),O(n log n)
"import heapq
kyr_list = [i for i in range(n)]
heapq.heapify(kyr_list)
while kyr_list:
    heapq.heappop(kyr_list)",O(n log n),O(n),O(n log n)
"def merge_sort_3(arr):
    if len(arr) > 1:
        mid = len(arr) // 2
        L = arr[:mid]
        R = arr[mid:]
        merge_sort_{i}(L)
        merge_sort_{i}(R)
        i = j = k = 0
        while i < len(L) and j < len(R):
            if L[i] < R[j]:
                arr[k] = L[i]
                i += 1
            else:
                arr[k] = R[j]
                j += 1
            k += 1",O(n log n),O(n log n),O(n log n)
"def merge_sort_4(arr):
    if len(arr) > 1:
        mid = len(arr) // 2
        L = arr[:mid]
        R = arr[mid:]
        merge_sort_{i}(L)
        merge_sort_{i}(R)
        i = j = k = 0
        while i < len(L) and j < len(R):
            if L[i] < R[j]:
                arr[k] = L[i]
                i += 1
            else:
                arr[k] = R[j]
                j += 1
            k += 1",O(n log n),O(n log n),O(n log n)
"import heapq
whv_list = [i for i in range(n)]
heapq.heapify(whv_list)
while whv_list:
    heapq.heappop(whv_list)",O(n log n),O(n),O(n log n)
"import heapq
yyo_list = [i for i in range(n)]
heapq.heapify(yyo_list)
while yyo_list:
    heapq.heappop(yyo_list)",O(n log n),O(n),O(n log n)
"def merge_sort_7(arr):
    if len(arr) > 1:
        mid = len(arr) // 2
        L = arr[:mid]
        R = arr[mid:]
        merge_sort_{i}(L)
        merge_sort_{i}(R)
        i = j = k = 0
        while i < len(L) and j < len(R):
            if L[i] < R[j]:
                arr[k] = L[i]
                i += 1
            else:
                arr[k] = R[j]
                j += 1
            k += 1",O(n log n),O(n log n),O(n log n)
"def merge_sort_8(arr):
    if len(arr) > 1:
        mid = len(arr) // 2
        L = arr[:mid]
        R = arr[mid:]
        merge_sort_{i}(L)
        merge_sort_{i}(R)
        i = j = k = 0
        while i < len(L) and j < len(R):
            if L[i] < R[j]:
                arr[k] = L[i]
                i += 1
            else:
                arr[k] = R[j]
                j += 1
            k += 1",O(n log n),O(n log n),O(n log n)
"def merge_sort_9(arr):
    if len(arr) > 1:
        mid = len(arr) // 2
        L = arr[:mid]
        R = arr[mid:]
        merge_sort_{i}(L)
        merge_sort_{i}(R)
        i = j = k = 0
        while i < len(L) and j < len(R):
            if L[i] < R[j]:
                arr[k] = L[i]
                i += 1
            else:
                arr[k] = R[j]
                j += 1
            k += 1",O(n log n),O(n log n),O(n log n)
"import heapq
ceq_list = [i for i in range(n)]
heapq.heapify(ceq_list)
while ceq_list:
    heapq.heappop(ceq_list)",O(n log n),O(n),O(n log n)
"def merge_sort_11(arr):
    if len(arr) > 1:
        mid = len(arr) // 2
        L = arr[:mid]
        R = arr[mid:]
        merge_sort_{i}(L)
        merge_sort_{i}(R)
        i = j = k = 0
        while i < len(L) and j < len(R):
            if L[i] < R[j]:
                arr[k] = L[i]
                i += 1
            else:
                arr[k] = R[j]
                j += 1
            k += 1",O(n log n),O(n log n),O(n log n)
"def merge_sort_12(arr):
    if len(arr) > 1:
        mid = len(arr) // 2
        L = arr[:mid]
        R = arr[mid:]
        merge_sort_{i}(L)
        merge_sort_{i}(R)
        i = j = k = 0
        while i < len(L) and j < len(R):
            if L[i] < R[j]:
                arr[k] = L[i]
                i += 1
            else:
                arr[k] = R[j]
                j += 1
            k += 1",O(n log n),O(n log n),O(n log n)
"def merge_sort_13(arr):
    if len(arr) > 1:
        mid = len(arr) // 2
        L = arr[:mid]
        R = arr[mid:]
        merge_sort_{i}(L)
        merge_sort_{i}(R)
        i = j = k = 0
        while i < len(L) and j < len(R):
            if L[i] < R[j]:
                arr[k] = L[i]
                i += 1
            else:
                arr[k] = R[j]
                j += 1
            k += 1",O(n log n),O(n log n),O(n log n)
"import heapq
pjn_list = [i for i in range(n)]
heapq.heapify(pjn_list)
while pjn_list:
    heapq.heappop(pjn_list)",O(n log n),O(n),O(n log n)
"import heapq
nwo_list = [i for i in range(n)]
heapq.heapify(nwo_list)
while nwo_list:
    heapq.heappop(nwo_list)",O(n log n),O(n),O(n log n)
"def merge_sort_16(arr):
    if len(arr) > 1:
        mid = len(arr) // 2
        L = arr[:mid]
        R = arr[mid:]
        merge_sort_{i}(L)
        merge_sort_{i}(R)
        i = j = k = 0
        while i < len(L) and j < len(R):
            if L[i] < R[j]:
                arr[k] = L[i]
                i += 1
            else:
                arr[k] = R[j]
                j += 1
            k += 1",O(n log n),O(n log n),O(n log n)
"import heapq
zcl_list = [i for i in range(n)]
heapq.heapify(zcl_list)
while zcl_list:
    heapq.heappop(zcl_list)",O(n log n),O(n),O(n log n)
"def merge_sort_18(arr):
    if len(arr) > 1:
        mid = len(arr) // 2
        L = arr[:mid]
        R = arr[mid:]
        merge_sort_{i}(L)
        merge_sort_{i}(R)
        i = j = k = 0
        while i < len(L) and j < len(R):
            if L[i] < R[j]:
                arr[k] = L[i]
                i += 1
            else:
                arr[k] = R[j]
                j += 1
            k += 1",O(n log n),O(n log n),O(n log n)
"def merge_sort_19(arr):
    if len(arr) > 1:
        mid = len(arr) // 2
        L = arr[:mid]
        R = arr[mid:]
        merge_sort_{i}(L)
        merge_sort_{i}(R)
        i = j = k = 0
        while i < len(L) and j < len(R):
            if L[i] < R[j]:
                arr[k] = L[i]
                i += 1
            else:
                arr[k] = R[j]
                j += 1
            k += 1",O(n log n),O(n log n),O(n log n)
"def merge_sort_20(arr):
    if len(arr) > 1:
        mid = len(arr) // 2
        L = arr[:mid]
        R = arr[mid:]
        merge_sort_{i}(L)
        merge_sort_{i}(R)
        i = j = k = 0
        while i < len(L) and j < len(R):
            if L[i] < R[j]:
                arr[k] = L[i]
                i += 1
            else:
                arr[k] = R[j]
                j += 1
            k += 1",O(n log n),O(n log n),O(n log n)
"import heapq
znw_list = [i for i in range(n)]
heapq.heapify(znw_list)
while znw_list:
    heapq.heappop(znw_list)",O(n log n),O(n),O(n log n)
"import heapq
xzm_list = [i for i in range(n)]
heapq.heapify(xzm_list)
while xzm_list:
    heapq.heappop(xzm_list)",O(n log n),O(n),O(n log n)
"def merge_sort_23(arr):
    if len(arr) > 1:
        mid = len(arr) // 2
        L = arr[:mid]
        R = arr[mid:]
        merge_sort_{i}(L)
        merge_sort_{i}(R)
        i = j = k = 0
        while i < len(L) and j < len(R):
            if L[i] < R[j]:
                arr[k] = L[i]
                i += 1
            else:
                arr[k] = R[j]
                j += 1
            k += 1",O(n log n),O(n log n),O(n log n)
"import heapq
qyx_list = [i for i in range(n)]
heapq.heapify(qyx_list)
while qyx_list:
    heapq.heappop(qyx_list)",O(n log n),O(n),O(n log n)
"def merge_sort_25(arr):
    if len(arr) > 1:
        mid = len(arr) // 2
        L = arr[:mid]
        R = arr[mid:]
        merge_sort_{i}(L)
        merge_sort_{i}(R)
        i = j = k = 0
        while i < len(L) and j < len(R):
            if L[i] < R[j]:
                arr[k] = L[i]
                i += 1
            else:
                arr[k] = R[j]
                j += 1
            k += 1",O(n log n),O(n log n),O(n log n)
"import heapq
zxu_list = [i for i in range(n)]
heapq.heapify(zxu_list)
while zxu_list:
    heapq.heappop(zxu_list)",O(n log n),O(n),O(n log n)
